Time,Athlete,Date,Place
10:56.0, Phyllis Perkins (GBR),22 May 1954,"London, United Kingdom"
10:55.2, Phyllis Perkins (GBR),25 June 1955,"London, United Kingdom"
10:25.8, Leila Buckland (GBR),27 August 1955,"London, United Kingdom"
10:16.2, June Bridgland (GBR),25 August 1956,"London, United Kingdom"
10:16.0, Phyllis Perkins (GBR),27 October 1956,"London, United Kingdom"
9:44.0, Roberta Picco (CAN),23 July 1966,"Don Mills, Canada"
9:42.8, Paola Pigni (ITA),11 May 1969,"Formia, Italy"
9:38.0, Paola Pigni (ITA),2 September 1969,"Milan, Italy"
9:26.9, Doris Brown (USA),10 July 1971,"Bakersfield, United States"
9:23.4, Joyce Smith (GBR),16 July 1971,"London, United Kingdom"
9:09.2, Paola Pigni (ITA),11 May 1972,"Formia, Italy"
8:53.0, Lyudmila Bragina (URS),12 August 1972,"Moscow, Soviet Union"
8:52.8*, Lyudmila Bragina (URS),6 July 1974[4],"Durham, United States"
8:46.6, Grete Andersen-Waitz (NOR),24 June 1975[4],"Oslo, Norway"
8:45.4, Grete Waitz (NOR),21 June 1976[4],"Oslo, Norway"
8:27.2*, Lyudmila Bragina (URS),7 August 1976[4],"College Park, United States"
8:26.78, Svetlana Ulmasova (URS),25 July 1982[4],"Kiev, Soviet Union"
8:22.62, Tatyana Kazankina (URS),26 August 1984[4],"Leningrad, Soviet Union"
8:22.06, Zhang Linli (CHN),12 September 1993[4],"Beijing, PR China"
8:12.19, Wang Junxia (CHN),12 September 1993[4],"Beijing, PR China"
8:06.11, Wang Junxia (CHN),13 September 1993[4],"Beijing, PR China"
